City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,divinopolis,-20.1389,-44.8839,35.91,23,97,3.64,BR,1700338789
327,enewetak,11.3474,162.3373,28.2,77,21,8.09,MH,1700339057
328,igarka,67.4667,86.5833,-17.99,97,100,4.13,RU,1700339059
329,la ligua,-32.4524,-71.2311,23.02,44,100,4.54,CL,1700339060
330,turan,16.0678,108.2208,20.99,78,40,0.0,VN,1700338886
331,jumla,29.2747,82.1838,6.76,35,0,2.38,NP,1700339062
332,griffith,41.5284,-87.4237,12.3,32,0,5.14,US,1700339064
333,fisterra,42.9049,-9.2629,16.53,92,99,5.59,ES,1700339065
334,i-n-salah,27.1935,2.4607,22.75,21,8,5.6,DZ,1700339067
335,soe,-9.8607,124.284,19.26,91,65,1.45,ID,1700339068
336,jalal-abad,40.9333,73.0,10.8,29,100,1.6,KG,1700339069
337,coquimbo,-29.9533,-71.3436,17.85,77,0,7.2,CL,1700339034
338,arsen'yev,44.1631,133.2733,-10.82,95,45,0.93,RU,1700339072
339,pudozh,61.8099,36.5345,-2.25,92,100,4.02,RU,1700339074
340,tomatlan,19.9333,-105.25,31.21,61,40,3.16,MX,1700339075
341,yuzhno-kurilsk,44.0306,145.8556,9.1,74,97,5.67,RU,1700339077
342,hammerfest,70.6634,23.6821,-0.75,80,40,4.12,NO,1700339078
343,nova sintra,14.8667,-24.7167,23.9,68,61,4.15,CV,1700339079
344,ataq,14.5377,46.8319,21.46,78,10,3.61,YE,1700339081
345,kannad,20.2667,75.1333,20.11,57,0,2.69,IN,1700339082
346,bakanas,44.8081,76.2772,9.71,66,78,5.51,KZ,1700339083
347,aden,12.7794,45.0367,27.21,83,100,7.4,YE,1700339084
348,yuncheng,35.0231,110.9928,7.17,42,0,0.38,CN,1700339085
349,fatehpur sikri,27.1,77.6667,18.35,46,35,0.76,IN,1700339086
350,nieuw amsterdam,5.8833,-55.0833,32.09,58,20,2.06,SR,1700339088
351,leua,48.2156,18.6071,3.61,80,26,2.85,SK,1700339089
352,aldinga beach,-35.2793,138.4604,15.7,90,3,3.2,AU,1700339090
353,juan griego,11.0817,-63.9655,29.06,73,37,6.95,VE,1700339091
354,fale old settlement,-9.3852,-171.2468,29.35,77,78,6.96,TK,1700339092
355,tsiombe,-25.3,45.4833,23.75,85,0,2.15,MG,1700339093
356,sinop,41.7711,34.8709,11.13,89,94,4.8,TR,1700339095
